Genre,NA_Sales
Action,877.8299999999916
Adventure,105.79999999999998
Fighting,223.59000000000017
Misc,410.23999999999904
Platform,447.0499999999991
Puzzle,123.78000000000009
Racing,359.41999999999774
Role-Playing,327.279999999999
Shooter,582.599999999995
Simulation,183.31000000000068
Sports,683.3499999999967
Strategy,68.70000000000019
